comuna;superficie
14108;5,123493910575148
14201;7,579046372186895
14202;2,337726516585932
14203;1,095584296087890
14204;4,325860991992672
15101;37,450927681446835
15201;0,614920827161077
16101;33,001765948937987
16102;4,690372897387939
16103;5,573509560333781
16104;2,340304589824685
16105;2,027414683701411
16106;6,116508121192402
16107;8,318438245822730
16108;3,733065508538597
16109;9,610890144443097
16201;2,801759504804663
16202;0,891740529860422
16203;3,262731390888703
16204;0,898308685099391
16205;0,821182359271675
16206;0,892879362396288
16207;1,530371093501158
16301;8,351678006034938
16302;3,123458016245277
16303;0,857002577756591
16304;2,111098124755197
16305;2,062769617445356
