comuna;superficie;nombre_comuna
13503;694,01;Curacaví
5703;348,85;Llaillay
10306;1506,66;San Juan de la Costa
16107;406,35;Quillón
13605;69,49;Peñaflor
9107;690,29;Gorbea
13602;115,96;El Monte
13104;10,94;Conchalí
10301;954,71;Osorno
8314;2124,48;Alto Biobío
16104;665,51;El Carmen
8204;639,07;Contulmo
16103;262,41;Chillán Viejo
8110;92,56;Talcahuano
8307;155,28;Negrete
4101;1900,87;La Serena
8106;114,71;Lota
5704;120,35;Panquehue
7307;554,16;Sagrada Familia
9108;905,76;Lautaro
14201;2131,71;La Unión
15202;2258,78;General Lagos
7104;565,11;Empedrado
13109;10,01;La Cisterna
13106;14,38;Estación Central
13401;153,87;San Bernardo
9207;1110,06;Lumaco
7105;242,88;Maule
1101;2290,74;Iquique
10303;1452,12;Purranque
6307;282,97;Peralillo
5102;954,41;Casablanca
8101;220,19;Concepción
11301;8630,26;Cochrane
7401;1466,18;Linares
7404;1637,96;Parral
14107;901,54;Paillaco
10208;3362,40;Quellón
7107;955,13;Pencahue
6105;80,57;Doñihue
7201;2124,54;Cauquenes
12303;11020,10;Timaukel
8303;656,67;Cabrero
8305;1920,67;Mulchén
2301;4122,92;Tocopilla
13115;1024,02;Lo Barnechea
9105;869,83;Freire
16305;565,53;San Nicolás
13502;844,33;Alhué
6107;750,99;Las Cabras
9118;851,89;Toltén
9201;1197,16;Angol
16303;491,91;Ñiquén
5105;299,35;Puchuncaví
9110;1106,75;Melipeuco
13203;4984,74;San José de Maipo
5401;1163,75;La Ligua
8109;777,43;Santa Juana
8205;1002,96;Curanilahue
15101;4802,22;Arica
3103;11258,48;Tierra Amarilla
13103;11,05;Cerro Navia
5504;77,84;La Cruz
7306;1603,35;Romeral
5603;243,75;Cartagena
5801;536,32;Quilpué
8313;726,88;Yumbel
13116;8,26;Lo Espejo
1405;8989,52;Pica
10210;158,78;Quinchao
13110;71,06;La Florida
12103;9148,03;Río Verde
9204;498,65;Ercilla
10201;471,63;Castro
5104;110,58;Juan Fernández
5103;76,89;Concón
8310;94,43;San Rosendo
2101;30702,19;Antofagasta
5701;187,26;San Felipe
14103;532,92;Lanco
13303;654,68;Tiltil
13129;9,94;San Joaquín
12201;15729,96;Cabo de Hornos
7202;527,76;Chanco
13604;80,69;Padre Hurtado
10204;79,89;Curaco de Vélez
5109;120,49;Viña del Mar
7301;1335,26;Curicó
5302;321,33;Calle Larga
6101;260,97;Rancagua
6117;484,70;San Vicente
8207;626,73;Tirúa
3302;6159,29;Alto del Carmen
10404;2654,23;Palena
4302;2295,87;Combarbalá
13121;8,73;Pedro Aguirre Cerda
6310;393,27;Santa Cruz
5301;1234,59;Los Andes
8112;53,78;Hualpén
10307;630,06;San Pablo
6103;97,34;Coinco
7101;231,92;Talca
7304;1517,39;Molina
16109;823,99;Yungay
13114;99,09;Las Condes
13505;786,54;San Pedro
13122;53,90;Peñalolén
5303;122,84;Rinconada
6111;44,23;Olivar
10202;1755,53;Ancud
